item	layer	value
GC_00003370	SC_ERR018177_Bangladesh_1987	0
GC_00003370	SC_ERR018181_Argentina_1993	1
GC_00003370	SC_ERR018189_India_1980	0
GC_00003370	SC_ERR025378_Peru_1991	1
GC_00003370	SC_ERR025381_Angola_1989	1
GC_00003370	SC_ERR025383_Bangladesh_1979	0
GC_00003370	SC_ERR025388_Peru_1991	1
GC_00003370	SC_ERR025389_Peru_1991	1
GC_00003370	SC_ERR025390_Peru_1991	1
GC_00003370	SC_ERR044780_Mexico_1991	1
GC_00003370	SC_ERR044782_Mexico_1992	1
GC_00003370	SC_ERR044784_Mexico_1993	1
GC_00003370	SC_ERR044787_Mexico_1994	1
GC_00003370	SC_ERR044788_Mexico_1995	1
GC_00003370	SC_ERR108518_Mexico_1999	0
GC_00003370	SC_ERR108522_Mexico_2000	0
GC_00003370	SC_ERR108535_Mexico_2004	1
GC_00003370	SC_ERR108536_Mexico_2005	1
GC_00003370	SC_ERR108537_Mexico_2006	1
GC_00003370	SC_ERR163233_Mexico_1991	1
GC_00003370	SC_ERR163234_Mexico_1991	1
GC_00003370	SC_ERR163235_Mexico_1991	1
GC_00003370	SC_ERR163236_Mexico_1991	1
GC_00003370	SC_ERR163237_Mexico_1991	1
GC_00003370	SC_ERR163238_Mexico_1992	1
GC_00003370	SC_ERR163239_Mexico_1992	1
GC_00003370	SC_ERR163245_Mexico_2004	1
GC_00003370	SC_ERR163246_Mexico_2004	1
GC_00003370	SC_ERR163247_Mexico_2004	1
GC_00003370	SC_ERR163248_Mexico_2004	1
GC_00003370	SC_ERR163249_Mexico_2007	1
GC_00003370	SC_ERR163253_Mexico_2008	1
GC_00003370	SC_ERR163254_Mexico_2008	1
GC_00003370	SC_ERR163255_Mexico_2008	1
GC_00003370	SC_ERR163256_Mexico_2008	1
GC_00003370	SC_ERR163259_Mexico_2010	1
GC_00003370	SC_ERR163260_Mexico_2010	1
GC_00003370	SC_ERR163263_Mexico_2010	1
GC_00003370	SC_ERR163268_Mexico_2010	1
GC_00003370	SC_ERR163271_Mexico_2010	1
GC_00003370	SC_ERR1877619_Uganda_1992	1
GC_00003370	SC_ERR1877636_Uganda_1992	1
GC_00003370	SC_ERR1879384_Cote_dIvoire_1988	1
GC_00003370	SC_ERR1879435_Cote_dIvoire_1988	1
GC_00003370	SC_ERR1879535_Cote_dIvoire_1988	1
GC_00003370	SC_ERR1879542_Cote_dIvoire_1988	1
GC_00003370	SC_ERR1879552_Sao_Tome_1989	1
GC_00003370	SC_ERR1879554_French_Guiana_1993	1
GC_00003370	SC_ERR1879571_Sri_Lanka_1981	0
GC_00003370	SC_ERR1879578_French_Guiana_1994	1
GC_00003370	SC_ERR1879579_Ecuador_1995	1
GC_00003370	SC_ERR1879657_Nigeria_1997	1
GC_00003370	SC_ERR2008340_Mexico_1991	1
GC_00003370	SC_ERR2008343_Mexico_1991	1
GC_00003370	SC_ERR2008344_Mexico_1991	1
GC_00003370	SC_ERR2008345_Mexico_1991	1
GC_00003370	SC_ERR2008346_Mexico_1991	1
GC_00003370	SC_ERR2008347_Mexico_1991	1
GC_00003370	SC_ERR2008348_Mexico_1992	1
GC_00003370	SC_ERR2008349_Mexico_1992	1
GC_00003370	SC_ERR2008350_Mexico_1992	1
GC_00003370	SC_ERR2008352_Mexico_1999	0
GC_00003370	SC_ERR2008358_Mexico_1992	1
GC_00003370	SC_ERR2008359_Mexico_1992	1
GC_00003370	SC_ERR2008360_Mexico_1992	1
GC_00003370	SC_ERR2008361_Mexico_1992	1
GC_00003370	SC_ERR2008362_Mexico_1992	1
GC_00003370	SC_ERR2008386_Mexico_1993	1
GC_00003370	SC_ERR2008389_Mexico_1993	1
GC_00003370	SC_ERR2008390_Mexico_1993	1
GC_00003370	SC_ERR2008412_Mexico_2000	0
GC_00003370	SC_ERR2008414_Mexico_2000	0
GC_00003370	SC_ERR2008433_Mexico_2000	0
GC_00003370	SC_ERR2008434_Mexico_2000	0
GC_00003370	SC_ERR2008750_Mexico_1998	0
GC_00003370	SC_ERR2008756_Bolivia_1991	1
GC_00003370	SC_ERR2008757_Brazil_1991	1
GC_00003370	SC_ERR2008758_Brazil_1991	1
GC_00003370	SC_ERR2008759_Brazil_1991	1
GC_00003370	SC_ERR2008760_Colombia_1991	1
GC_00003370	SC_ERR2008761_Colombia_1992	1
GC_00003370	SC_ERR2008762_Peru_1991	1
GC_00003370	SC_ERR576950_Chile_1991	1
GC_00003370	SC_ERR576973_Peru_1991	1
GC_00003370	SC_ERR576978_Mauritania_1986	0
GC_00003370	SC_ERR579064_China_1987	0
GC_00003370	SC_ERR579067_China_1986	0
GC_00003370	SC_ERR580006_Peru_1991	1
GC_00003370	SC_ERR976479_Burkina_Faso_1984	0
GC_00003370	SC_ERR976481_Mali_1985	0
GC_00003370	SC_ERR976485_Burkina_Faso_1984	0
GC_00003370	SC_ERR976486_Burkina_Faso_1984	0
GC_00003370	SC_ERR976488_Bolivia_1991	1
GC_00003370	SC_ERR976489_Brazil_1991	1
GC_00003370	SC_ERR976492_Brazil_1991	1
GC_00003370	SC_ERR976493_Brazil_1992	1
GC_00003370	SC_ERR976494_Bolivia_1992	1
GC_00003370	SC_ERR976495_Bolivia_1992	1
GC_00003370	SC_ERR976496_Bolivia_1992	1
GC_00003370	SC_ERR976497_Bolivia_1991	1
GC_00003370	SC_ERR976498_Angola_1988	1
GC_00003370	SC_ERR976499_Angola_1988	1
GC_00003370	SC_ERR976500_Angola_1988	1
GC_00003370	SC_ERR976501_Angola_1988	1
GC_00003370	SC_ERR976502_Angola_1988	1
GC_00003370	SC_ERR976503_Angola_1988	1
GC_00003370	SC_ERR976511_Cote_dIvoire_1988	1
GC_00003370	SC_ERR976512_Cote_dIvoire_1988	1
GC_00003370	SC_ERR976522_Angola_1992	1
GC_00003370	SC_ERR976532_Angola_1994	1
GC_00003370	SC_ERR976533_Angola_1994	1
GC_00003370	SC_ERR998664_Angola_1995	0
